voter_id,first_name,last_name,region,election_year,candidate_id,vote_timestamp,vote_hash
1,Amina,Kadiri,Casablanca-Settat,2021,2,2021-09-08 14:59:21,1536ba92bfbfd68e24a3141a0027a7b0ac0512303bc0cdfdb34d6fc0d398694c
2,Rachid,Kadiri,Casablanca-Settat,2021,1,2021-09-08 10:22:01,966095c680b61a4626b92eb030f6673c6e0487022a9779b2bc7418c029fc9447
3,Karim,Alaoui,Marrakech-Safi,2021,2,2021-09-08 18:49:08,edd13415eedcc205812552eab4bdbc57caff8ee8a07dc34a1cd349437ce2b8f7
4,Youssef,Ait Benhaddou,Drâa-Tafilalet,2021,4,2021-09-08 16:20:42,3dbd336496785c115817104bb4a9b4a1a55c68a48c416e8bd78260956f202ffe
5,Nadia,Ait Benhaddou,Tanger-Tétouan-Al Hoceïma,2021,3,2021-09-08 12:08:55,04c86041d3f798153a5f3ebc256341d23c8f37571660bb11e91c072a3f7ef267
6,Hajar,Ait Benhaddou,Oriental,2021,1,2021-09-08 10:53:40,7aa3e49b137b3a9ed70da382cc5ae8bf87824c856d0000eca0e524a1753574e3
7,Salma,Ziani,Casablanca-Settat,2021,3,2021-09-08 14:30:28,22c7b8798fb3b8fee8313a57cd67433377af81c58424018410f8ff1ca485b833
8,Sara,Alaoui,Fès-Meknès,2021,2,2021-09-08 14:29:59,eb8a5cac53a47175447da2dc408ae99ea476c842b73a512afc6053b1a10bc11c
9,Karim,Bennani,Souss-Massa,2021,3,2021-09-08 16:31:41,52985965faded2e1f87e0bdf3c05d6550597336a69daf0e01699aee5353a04bc
10,Sara,El Amrani,Fès-Meknès,2021,4,2021-09-08 16:08:14,0a50fa902147b3e07e045f079e145813cbfb357a0500422cb26b737cf6373757
11,Imane,Ziani,Tanger-Tétouan-Al Hoceïma,2021,3,2021-09-08 14:56:09,32e6f6305749466e25d63410027e3ff9d1e9d9e82b7b53b0cf51854e89d0f45e
12,Omar,Ait Lahcen,Marrakech-Safi,2021,4,2021-09-08 12:57:28,db050dbce1507e7e25ddbf2d84a1820dd5256bf0c1a13883b2676348a210fae4
13,Khadija,Skalli,Drâa-Tafilalet,2021,3,2021-09-08 11:12:27,789db68da90395e7476628f38d79b1540e342b920ec6dcf2ae2c8eb739b18744
14,Salma,Ziani,Rabat-Salé-Kénitra,2021,4,2021-09-08 15:35:36,3a7c10a49e22781258d987f1c9ffd53a6ca4e91beb46d80503e57781df632274
15,Said,Berrada,Rabat-Salé-Kénitra,2021,4,2021-09-08 11:07:15,061e7670075be28df6b94b356def77dd19f8891c931cab172fd5a02b32c1306d
16,Khadija,El Fassi,Souss-Massa,2021,4,2021-09-08 08:20:31,46537fb67c888062f166b5f3ca5c3b92c003346306374c17c9789d3d0da639b3
17,Nadia,Skalli,Oriental,2021,2,2021-09-08 08:11:23,15daf755fc2f1d03672a2a6ab64c65cf2871d1fe0ff7f8592a7e395218bc8e2c
18,Zineb,Ait Benhaddou,Oriental,2021,1,2021-09-08 09:14:08,c6d3ac9df0dcdbc95139dd00967e57b1631166a85845e1edb43c23faa7b7f318
19,Mohamed,Kadiri,Drâa-Tafilalet,2021,3,2021-09-08 11:10:29,417c2f51adbbc4edcea95b55b3a7d036ef5db41e3bb45e3c7cea0ec6c0fa1290
20,Imane,Berrada,Souss-Massa,2021,1,2021-09-08 16:43:24,34a65325721ea5eab503c6563a1e6cd939da7a7a8e7361a4333dc10fee0fa2d4
21,Fatima,Alaoui,Drâa-Tafilalet,2021,2,2021-09-08 17:39:00,eade35bfbb43b47a10008be661251c50e9cc89ba433db928c7cc7e314e6010fe
22,Amina,Alaoui,Drâa-Tafilalet,2021,1,2021-09-08 15:54:26,97b8a0dd40517e5552c7f1ba577040ea1fd0ecdfc8c299b23855f68fd888aa34
23,Fatima,Ait Benhaddou,Marrakech-Safi,2021,4,2021-09-08 10:30:46,21051a45d313f5540f858a5fecd918f6a8da28cdd963b42c1c107d4e90c7e9e4
24,Khalid,Ait Lahcen,Souss-Massa,2021,1,2021-09-08 16:23:46,f47aeff932c4d4612913f3d19355eac8220b6274c5749054668d3c2a9ff6088a
